"steam_id","stat_ts","peak_players"
"4025700","1781600400000","8401"
"1974050","1781604000000","704"
"2315040","1781604000000","410"
"4025700","1781604000000","9004"
"1974050","1781607600000","785"
"2315040","1781607600000","489"
"4025700","1781607600000","10333"
"1974050","1781611200000","822"
"2315040","1781611200000","518"
"4025700","1781611200000","11830"
"1974050","1781614800000","899"
"2315040","1781614800000","582"
"4025700","1781614800000","12936"
"1974050","1781618400000","868"
"2315040","1781618400000","583"
"4025700","1781618400000","13495"
"1974050","1781622000000","883"
"2315040","1781622000000","476"
"4025700","1781622000000","13355"
"1974050","1781625600000","834"
"2315040","1781625600000","313"
"4025700","1781625600000","12139"
"1974050","1781629200000","772"
"2315040","1781629200000","203"
"4025700","1781629200000","10757"
"1974050","1781632800000","744"
"2315040","1781632800000","149"
"4025700","1781632800000","9247"
"1974050","1781636400000","647"
"2315040","1781636400000","115"
"4025700","1781636400000","8196"
"1974050","1781640000000","630"
"2315040","1781640000000","86"
"4025700","1781640000000","7396"
"1974050","1781643600000","557"
"2315040","1781643600000","85"
"4025700","1781643600000","7172"
"1974050","1781647200000","487"
"2315040","1781647200000","89"
"4025700","1781647200000","6789"
"1974050","1781650800000","445"
"2315040","1781650800000","100"
"4025700","1781650800000","6978"
"1974050","1781654400000","451"
"2315040","1781654400000","144"
"4025700","1781654400000","7036"
"1974050","1781658000000","447"
"2315040","1781658000000","201"
"4025700","1781658000000","7196"
"1974050","1781661600000","466"
"2315040","1781661600000","236"
"4025700","1781661600000","7642"
"1974050","1781665200000","478"
"2315040","1781665200000","270"
"4025700","1781665200000","7790"
"1974050","1781668800000","452"
"2315040","1781668800000","291"
"4025700","1781668800000","7792"
"1974050","1781672400000","473"
"2315040","1781672400000","323"
"4025700","1781672400000","8074"
"1974050","1781676000000","526"
"2315040","1781676000000","328"
"4025700","1781676000000","8056"
"1974050","1781679600000","549"
"2315040","1781679600000","350"
"4025700","1781679600000","7986"
"1974050","1781683200000","592"
"2315040","1781683200000","359"
"4025700","1781683200000","8173"
"1974050","1781686800000","642"
"2315040","1781686800000","342"
"4025700","1781686800000","8421"
"1974050","1781690400000","664"
"2315040","1781690400000","377"
"4025700","1781690400000","8788"
"1974050","1781694000000","740"
"2315040","1781694000000","459"
"4025700","1781694000000","10092"
"1974050","1781697600000","806"
"2315040","1781697600000","510"
"4025700","1781697600000","11465"
"1974050","1781701200000","836"
